Zeit,Kanal,Spannung,Strom,Leistung
12/10/2023 13:12:31,2,6.637,0.301,2.0
12/10/2023 13:12:31,3,6.637,0.29,1.923
12/10/2023 13:12:31,4,4.72,0.203,0.956
12/10/2023 13:12:41,2,6.637,0.301,2.0
12/10/2023 13:12:42,3,6.637,0.29,1.923
12/10/2023 13:12:42,4,4.72,0.203,0.957
12/10/2023 13:12:52,2,6.637,0.301,2.0
12/10/2023 13:12:53,3,6.637,0.29,1.928
12/10/2023 13:12:53,4,4.72,0.203,0.958
12/10/2023 13:13:03,2,6.637,0.301,2.0
12/10/2023 13:13:03,3,6.637,0.289,1.92
12/10/2023 13:13:03,4,4.72,0.203,0.957
12/10/2023 13:13:14,2,6.637,0.301,2.0
12/10/2023 13:13:14,3,6.637,0.286,1.895
12/10/2023 13:13:14,4,4.72,0.203,0.957
