Zeit,Kanal,Spannung,Strom,Leistung
13/10/2023 10:00:59,2,2.572,0.117,0.3
13/10/2023 10:00:59,3,7.169,0.306,2.191
13/10/2023 10:01:10,2,2.571,0.117,0.3
13/10/2023 10:01:10,3,6.85,0.29,1.985
13/10/2023 10:01:20,2,2.571,0.117,0.3
13/10/2023 10:01:20,3,6.876,0.291,2.003
13/10/2023 10:01:30,2,2.571,0.117,0.3
13/10/2023 10:01:30,3,6.871,0.29,1.994
13/10/2023 10:01:41,2,2.571,0.117,0.3
13/10/2023 10:01:41,3,6.881,0.292,2.013
13/10/2023 10:01:51,2,2.571,0.117,0.3
13/10/2023 10:01:51,3,6.859,0.293,2.01
13/10/2023 10:02:02,2,2.571,0.117,0.3
13/10/2023 10:02:02,3,6.841,0.294,2.009
13/10/2023 10:02:12,2,2.571,0.117,0.3
13/10/2023 10:02:12,3,6.825,0.292,1.992
13/10/2023 10:02:22,2,2.571,0.117,0.3
13/10/2023 10:02:22,3,6.836,0.291,1.993
13/10/2023 10:02:33,2,2.571,0.117,0.3
13/10/2023 10:02:33,3,6.85,0.296,2.029
13/10/2023 10:02:43,2,2.571,0.117,0.3
13/10/2023 10:02:43,3,6.801,0.294,2.002
13/10/2023 10:02:54,2,2.571,0.117,0.3
13/10/2023 10:02:54,3,6.8,0.293,1.996
13/10/2023 10:03:04,2,2.571,0.117,0.3
13/10/2023 10:03:04,3,6.807,0.294,2.0
13/10/2023 10:03:14,2,2.571,0.117,0.3
13/10/2023 10:03:14,3,6.808,0.294,2.0
13/10/2023 10:03:25,2,2.571,0.117,0.3
13/10/2023 10:03:25,3,6.808,0.293,1.997
13/10/2023 10:03:35,2,2.571,0.117,0.3
13/10/2023 10:03:35,3,6.813,0.294,2.005
13/10/2023 10:03:45,2,2.571,0.117,0.3
13/10/2023 10:03:45,3,6.804,0.294,2.0
13/10/2023 10:03:56,2,2.571,0.117,0.3
13/10/2023 10:03:56,3,6.803,0.297,2.018
