Zeit,Kanal,Spannung,Strom,Leistung
12/10/2023 14:55:15,1,8.302,0.363,3.014
12/10/2023 14:55:15,2,4.693,0.213,1.0
12/10/2023 14:55:16,3,8.318,0.374,3.111
12/10/2023 14:55:16,4,10.651,0.0,0.002
12/10/2023 14:55:27,1,8.302,0.363,3.016
12/10/2023 14:55:27,2,4.693,0.213,1.0
12/10/2023 14:55:27,3,8.318,0.371,3.088
12/10/2023 14:55:37,1,8.302,0.364,3.019
12/10/2023 14:55:37,2,4.693,0.213,1.0
12/10/2023 14:55:37,3,8.318,0.372,3.091
12/10/2023 14:55:38,4,10.651,0.0,0.002
12/10/2023 14:55:48,1,8.302,0.364,3.019
12/10/2023 14:55:48,2,4.693,0.213,1.0
12/10/2023 14:55:49,3,8.318,0.372,3.092
12/10/2023 14:55:49,4,10.651,0.0,0.002
12/10/2023 14:55:59,1,4.778,0.208,0.992
12/10/2023 14:55:59,2,8.13,0.369,3.0
12/10/2023 14:56:00,3,2.116,0.094,0.199
12/10/2023 14:56:00,4,10.651,0.0,0.002
12/10/2023 14:56:10,1,4.797,0.209,1.001
12/10/2023 14:56:10,2,8.13,0.369,3.0
12/10/2023 14:56:28,1,4.797,0.209,1.003
12/10/2023 14:56:28,2,8.13,0.369,3.0
12/10/2023 14:56:28,3,2.12,0.094,0.2
12/10/2023 14:56:38,1,4.791,0.209,1.0
12/10/2023 14:56:39,2,8.13,0.369,3.0
12/10/2023 14:56:39,3,2.131,0.094,0.2
12/10/2023 14:56:49,1,4.79,0.209,1.0
12/10/2023 14:56:49,2,8.13,0.369,3.0
12/10/2023 14:56:50,3,2.119,0.095,0.2
12/10/2023 14:57:00,1,4.79,0.209,1.0
12/10/2023 14:57:00,2,8.13,0.369,3.0
12/10/2023 14:57:01,3,2.118,0.094,0.199
12/10/2023 14:57:11,1,4.791,0.209,1.0
12/10/2023 14:57:12,2,8.13,0.369,3.0
12/10/2023 14:57:12,3,2.121,0.094,0.2
12/10/2023 14:57:22,1,4.791,0.209,1.0
12/10/2023 14:57:22,2,8.13,0.369,3.0
12/10/2023 14:57:22,3,2.125,0.088,0.188
12/10/2023 14:57:33,1,4.791,0.209,1.0
12/10/2023 14:57:33,2,8.13,0.369,3.0
12/10/2023 14:57:33,3,2.152,0.093,0.2
