Zeit,Kanal,Spannung,Strom,Leistung
12/10/2023 13:17:46,2,6.637,0.301,2.0
12/10/2023 13:17:46,3,6.637,0.292,1.937
12/10/2023 13:17:46,4,4.72,0.202,0.951
12/10/2023 13:17:56,2,6.637,0.301,2.0
12/10/2023 13:17:56,3,6.637,0.291,1.933
12/10/2023 13:17:57,4,4.72,0.201,0.951
12/10/2023 13:18:07,2,4.693,0.213,1.0
12/10/2023 13:18:07,3,9.547,0.41,3.911
12/10/2023 13:18:07,4,10.825,0.473,5.116
12/10/2023 13:18:18,2,4.693,0.213,1.0
12/10/2023 13:18:18,3,9.627,0.418,4.024
12/10/2023 13:18:18,4,10.702,0.467,5.002
12/10/2023 13:18:28,2,4.693,0.213,1.0
12/10/2023 13:18:28,3,9.598,0.417,3.999
12/10/2023 13:18:29,4,10.7,0.467,4.994
12/10/2023 13:18:39,2,4.693,0.213,1.0
12/10/2023 13:18:39,3,9.598,0.425,4.079
12/10/2023 13:18:39,4,10.707,0.467,4.997
12/10/2023 13:18:50,2,4.693,0.213,1.0
12/10/2023 13:18:50,3,9.597,0.419,4.023
12/10/2023 13:18:50,4,10.709,0.467,4.996
12/10/2023 13:19:00,2,4.693,0.213,1.0
12/10/2023 13:19:01,3,9.597,0.421,4.045
12/10/2023 13:19:01,4,10.714,0.471,5.043
12/10/2023 13:19:11,2,4.693,0.213,1.0
12/10/2023 13:19:11,3,9.597,0.425,4.081
12/10/2023 13:19:11,4,10.667,0.467,4.985
12/10/2023 13:19:22,2,4.693,0.213,1.0
12/10/2023 13:19:22,3,9.597,0.428,4.106
12/10/2023 13:19:22,4,10.68,0.468,4.996
12/10/2023 13:19:32,2,4.693,0.213,1.0
12/10/2023 13:19:33,3,9.597,0.427,4.097
12/10/2023 13:19:33,4,10.684,0.468,5.003
12/10/2023 13:19:43,2,4.693,0.213,1.0
12/10/2023 13:19:43,3,9.597,0.423,4.057
12/10/2023 13:19:43,4,10.68,0.468,4.993
12/10/2023 13:19:53,2,4.693,0.213,1.0
12/10/2023 13:19:54,3,9.597,0.419,4.021
12/10/2023 13:19:54,4,10.688,0.467,4.993
12/10/2023 13:20:04,2,4.693,0.213,1.0
12/10/2023 13:20:05,3,9.597,0.412,3.956
12/10/2023 13:20:05,4,10.695,0.468,5.005
12/10/2023 13:20:15,2,4.693,0.213,1.0
12/10/2023 13:20:15,3,9.597,0.409,3.926
12/10/2023 13:20:16,4,10.689,0.468,5.001
12/10/2023 13:20:26,2,4.693,0.213,1.0
12/10/2023 13:20:26,3,9.597,0.411,3.945
12/10/2023 13:20:26,4,10.688,0.465,4.965
12/10/2023 13:20:40,2,4.693,0.213,1.0
12/10/2023 13:20:40,3,9.597,0.407,3.907
12/10/2023 13:20:41,4,10.726,0.468,5.02
12/10/2023 13:20:51,2,4.693,0.213,1.0
12/10/2023 13:20:51,3,9.597,0.404,3.878
12/10/2023 13:20:51,4,10.705,0.468,5.008
12/10/2023 13:21:02,2,4.693,0.213,1.0
12/10/2023 13:21:02,3,9.597,0.405,3.887
12/10/2023 13:21:02,4,10.696,0.466,4.983
