Zeit,Kanal,Spannung,Strom,Leistung
12/10/2023 14:30:18,1,32.05,0.0,0.003
12/10/2023 14:30:18,2,4.693,0.213,1.0
12/10/2023 14:30:18,3,10.707,0.473,5.061
12/10/2023 14:30:18,4,10.651,0.0,0.001
12/10/2023 14:30:28,1,32.05,0.0,0.0
12/10/2023 14:30:28,2,4.693,0.213,1.0
12/10/2023 14:30:29,3,10.707,0.473,5.062
12/10/2023 14:30:29,4,10.651,0.0,0.001
12/10/2023 14:30:39,1,32.05,0.0,0.0
12/10/2023 14:30:39,2,4.693,0.213,1.0
12/10/2023 14:30:40,3,10.707,0.473,5.062
12/10/2023 14:30:40,4,10.651,0.0,0.001
12/10/2023 14:30:50,1,32.05,0.0,0.0
12/10/2023 14:30:50,2,4.693,0.213,1.0
12/10/2023 14:30:50,3,10.707,0.473,5.064
12/10/2023 14:30:51,4,10.651,0.0,0.001
12/10/2023 14:31:01,1,32.05,0.0,0.0
12/10/2023 14:31:01,2,4.693,0.213,1.0
12/10/2023 14:31:01,3,10.707,0.473,5.065
12/10/2023 14:31:01,4,10.651,0.0,0.001
12/10/2023 14:31:12,1,32.05,0.0,0.0
12/10/2023 14:31:12,2,4.693,0.213,1.0
12/10/2023 14:31:12,3,10.707,0.473,5.064
12/10/2023 14:31:12,4,10.651,0.0,0.001
12/10/2023 14:31:22,1,32.05,0.0,0.0
12/10/2023 14:31:23,2,4.693,0.213,1.0
12/10/2023 14:31:23,3,10.707,0.473,5.067
12/10/2023 14:31:23,4,10.651,0.0,0.002
12/10/2023 14:31:33,1,32.05,0.0,0.0
12/10/2023 14:31:33,2,4.693,0.213,1.0
12/10/2023 14:31:33,3,10.707,0.473,5.067
12/10/2023 14:31:34,4,10.651,0.0,0.001
12/10/2023 14:31:44,1,32.05,0.0,0.0
12/10/2023 14:31:44,2,4.693,0.213,1.0
12/10/2023 14:31:44,3,10.707,0.472,5.057
12/10/2023 14:31:44,4,10.651,0.0,0.001
