Zeit,Kanal,Spannung,Strom,Leistung
12/10/2023 13:08:13,2,6.64,0.3,2.0
12/10/2023 13:08:13,3,6.64,0.28,1.89
12/10/2023 13:08:17,4,4.72,0.2,0.95
12/10/2023 13:08:27,2,6.64,0.3,2.0
12/10/2023 13:08:28,3,6.64,0.29,1.89
12/10/2023 13:08:28,4,4.72,0.2,0.95
12/10/2023 13:08:39,2,6.64,0.3,2.0
12/10/2023 13:08:39,3,6.64,0.29,1.89
12/10/2023 13:08:39,4,4.72,0.2,0.95
12/10/2023 13:08:49,2,6.64,0.3,2.0
12/10/2023 13:08:49,3,6.64,0.29,1.9
12/10/2023 13:08:49,4,4.72,0.2,0.96
12/10/2023 13:09:01,2,6.64,0.3,2.0
12/10/2023 13:09:01,3,6.64,0.29,1.9
12/10/2023 13:09:01,4,4.72,0.2,0.95
12/10/2023 13:09:11,2,6.64,0.3,2.0
12/10/2023 13:09:11,3,6.64,0.29,1.89
12/10/2023 13:09:12,4,4.72,0.2,0.95
