Zeit,Kanal,Spannung,Strom,Leistung
23/10/2023 12:27:12,1,6.647,0.301,2.0
23/10/2023 12:27:12,2,4.695,0.213,1.0
23/10/2023 12:27:12,3,32.05,0.0,0.003
23/10/2023 12:27:12,4,3.387,0.148,0.5
23/10/2023 12:27:15,1,6.647,0.301,2.0
23/10/2023 12:27:15,2,4.695,0.213,1.0
23/10/2023 12:27:15,3,32.05,0.0,0.003
23/10/2023 12:27:16,4,3.384,0.148,0.5
23/10/2023 12:27:19,1,6.647,0.301,2.0
23/10/2023 12:27:19,2,4.695,0.213,1.0
23/10/2023 12:27:19,3,32.05,0.0,0.003
23/10/2023 12:27:19,4,3.383,0.148,0.5
23/10/2023 12:27:22,1,6.647,0.301,2.0
23/10/2023 12:27:22,2,4.695,0.213,1.0
23/10/2023 12:27:23,3,32.05,0.0,0.003
23/10/2023 12:27:23,4,3.381,0.148,0.501
23/10/2023 12:27:26,1,6.647,0.301,2.0
23/10/2023 12:27:26,2,4.693,0.213,0.999
23/10/2023 12:27:26,3,32.05,0.0,0.003
23/10/2023 12:27:26,4,3.379,0.148,0.501
23/10/2023 12:27:30,1,6.647,0.301,2.0
23/10/2023 12:27:30,2,4.694,0.213,1.0
23/10/2023 12:27:30,3,32.05,0.0,0.003
23/10/2023 12:27:30,4,3.378,0.148,0.5
23/10/2023 12:27:33,1,6.647,0.301,2.0
23/10/2023 12:27:33,2,4.694,0.213,0.999
23/10/2023 12:27:33,3,32.05,0.0,0.003
23/10/2023 12:27:34,4,3.377,0.148,0.5
23/10/2023 12:27:37,1,6.647,0.301,2.0
23/10/2023 12:27:37,2,4.694,0.213,0.999
23/10/2023 12:27:37,3,32.05,0.0,0.003
23/10/2023 12:27:40,1,6.647,0.301,2.0
23/10/2023 12:27:40,2,4.697,0.213,1.0
23/10/2023 12:27:44,1,6.647,0.301,2.0
23/10/2023 12:27:44,2,4.693,0.213,1.0
23/10/2023 12:27:48,1,6.647,0.301,2.0
23/10/2023 12:27:48,2,3.949,0.179,0.708
23/10/2023 12:27:52,1,6.647,0.301,2.0
23/10/2023 12:27:52,2,4.691,0.213,0.999
23/10/2023 12:27:56,1,6.647,0.301,2.0
23/10/2023 12:27:56,2,4.692,0.213,1.0
23/10/2023 12:28:00,1,6.647,0.301,2.0
23/10/2023 12:28:00,2,4.693,0.213,1.0
23/10/2023 12:28:04,1,6.647,0.301,2.0
23/10/2023 12:28:04,2,4.693,0.213,1.0
23/10/2023 12:28:08,1,6.647,0.301,2.0
23/10/2023 12:28:08,2,4.693,0.213,1.0
23/10/2023 12:28:13,1,6.647,0.301,2.0
23/10/2023 12:28:13,2,4.693,0.213,1.0
23/10/2023 12:28:17,1,6.647,0.301,2.0
23/10/2023 12:28:17,2,4.691,0.213,0.999
23/10/2023 12:28:21,1,6.647,0.301,2.0
23/10/2023 12:28:21,2,4.693,0.213,1.0
23/10/2023 12:28:25,1,6.647,0.301,2.0
23/10/2023 12:28:25,2,4.693,0.213,1.0
23/10/2023 12:28:29,1,6.647,0.301,2.0
23/10/2023 12:28:29,2,4.693,0.213,1.0
23/10/2023 12:28:33,1,6.647,0.301,1.999
23/10/2023 12:28:33,2,4.693,0.213,1.0
23/10/2023 12:28:37,1,6.646,0.301,1.999
23/10/2023 12:28:37,2,4.691,0.213,0.999
23/10/2023 12:28:41,1,6.647,0.301,2.0
23/10/2023 12:28:41,2,4.693,0.213,1.0
