Zeit,Kanal,Spannung,Strom,Leistung
13/10/2023 11:24:55,2,6.635,0.301,2.0
13/10/2023 11:24:55,3,4.743,0.21,0.998
13/10/2023 11:24:58,2,6.635,0.301,2.0
13/10/2023 11:24:58,3,4.748,0.211,1.0
13/10/2023 11:25:01,2,6.635,0.301,2.0
13/10/2023 11:25:01,3,4.747,0.21,0.999
13/10/2023 11:25:05,2,6.635,0.301,2.0
13/10/2023 11:25:05,3,4.749,0.21,0.999
13/10/2023 11:25:08,2,6.635,0.301,2.0
13/10/2023 11:25:08,3,4.752,0.21,1.0
13/10/2023 11:25:12,2,6.635,0.301,2.0
13/10/2023 11:25:12,3,4.753,0.21,1.001
13/10/2023 11:25:15,2,6.635,0.301,2.0
13/10/2023 11:25:15,3,4.752,0.21,1.0
