Zeit,Kanal,Spannung,Strom,Leistung
12/10/2023 14:33:42,1,32.05,0.0,0.0
12/10/2023 14:33:42,2,4.693,0.213,1.0
12/10/2023 14:33:42,3,10.707,0.471,5.047
12/10/2023 14:33:42,4,10.651,0.0,0.001
12/10/2023 14:33:52,1,32.05,0.0,0.0
12/10/2023 14:33:53,2,4.693,0.213,1.0
12/10/2023 14:33:53,3,10.707,0.471,5.047
12/10/2023 14:33:53,4,10.651,0.0,0.001
12/10/2023 14:34:03,1,32.05,0.0,0.0
12/10/2023 14:34:03,2,4.693,0.213,1.0
12/10/2023 14:34:04,3,10.707,0.471,5.047
12/10/2023 14:34:04,4,10.651,0.0,0.001
12/10/2023 14:34:14,1,32.05,0.0,0.0
12/10/2023 14:34:14,2,4.693,0.213,1.0
12/10/2023 14:34:15,3,10.707,0.471,5.047
12/10/2023 14:34:15,4,10.651,0.0,0.001
12/10/2023 14:34:25,1,32.05,0.0,0.0
12/10/2023 14:34:25,2,4.693,0.213,1.0
12/10/2023 14:34:26,3,10.707,0.471,5.047
12/10/2023 14:34:26,4,10.651,0.0,0.001
12/10/2023 14:34:36,1,32.05,0.0,0.0
12/10/2023 14:34:37,2,4.693,0.213,1.0
12/10/2023 14:34:37,3,10.707,0.471,5.047
12/10/2023 14:34:37,4,10.651,0.0,0.001
12/10/2023 14:34:47,1,32.05,0.0,0.0
12/10/2023 14:34:48,2,4.693,0.213,1.0
12/10/2023 14:34:48,3,10.707,0.471,5.047
12/10/2023 14:34:48,4,10.651,0.0,0.001
12/10/2023 14:34:59,1,32.05,0.0,0.0
12/10/2023 14:34:59,2,4.693,0.213,1.0
12/10/2023 14:34:59,3,10.707,0.471,5.047
12/10/2023 14:34:59,4,10.651,0.0,0.001
12/10/2023 14:35:10,1,32.05,0.0,0.0
12/10/2023 14:35:10,2,4.693,0.213,1.0
12/10/2023 14:35:10,3,10.707,0.471,5.047
12/10/2023 14:35:10,4,10.651,0.0,0.001
12/10/2023 14:35:21,1,32.05,0.0,0.0
12/10/2023 14:35:21,2,4.693,0.213,1.0
12/10/2023 14:35:21,3,10.707,0.471,5.046
12/10/2023 14:35:21,4,10.651,0.0,0.001
12/10/2023 14:35:31,1,32.05,0.0,0.0
12/10/2023 14:35:38,3,10.707,0.471,5.047
12/10/2023 14:35:41,4,10.651,0.0,0.001
12/10/2023 14:35:51,1,32.05,0.0,0.0
12/10/2023 14:35:52,2,4.693,0.213,1.0
12/10/2023 14:35:52,3,10.707,0.471,5.047
12/10/2023 14:35:52,4,10.651,0.0,0.001
