Zeit,Kanal,Spannung,Strom,Leistung
13/10/2023 10:27:13,2,9.39,0.426,4.0
13/10/2023 10:27:13,3,4.825,0.207,0.999
13/10/2023 10:27:15,2,9.39,0.426,4.0
13/10/2023 10:27:15,3,4.827,0.207,1.0
13/10/2023 10:27:17,2,9.39,0.426,4.001
13/10/2023 10:27:17,3,4.827,0.207,1.0
13/10/2023 10:27:20,2,9.389,0.426,4.0
13/10/2023 10:27:20,3,4.827,0.207,1.001
13/10/2023 10:27:22,2,9.389,0.426,4.0
13/10/2023 10:27:22,3,4.825,0.207,1.0
13/10/2023 10:27:24,2,9.389,0.426,4.001
13/10/2023 10:27:25,3,4.824,0.207,1.0
13/10/2023 10:27:34,2,9.388,0.426,3.999
13/10/2023 10:27:34,3,4.825,0.207,0.998
13/10/2023 10:27:43,2,9.389,0.426,4.001
13/10/2023 10:27:43,3,4.83,0.207,1.001
13/10/2023 10:27:53,2,9.388,0.426,4.0
13/10/2023 10:27:53,3,4.827,0.206,0.996
13/10/2023 10:28:02,2,9.388,0.426,4.0
13/10/2023 10:28:02,3,4.836,0.208,1.005
13/10/2023 10:28:11,2,9.388,0.426,4.0
13/10/2023 10:28:11,3,4.824,0.207,0.998
13/10/2023 10:28:21,2,9.388,0.426,4.001
13/10/2023 10:28:21,3,4.829,0.208,1.005
13/10/2023 10:28:30,2,9.387,0.426,4.001
13/10/2023 10:28:30,3,4.816,0.207,0.999
13/10/2023 10:28:40,2,9.386,0.426,4.0
13/10/2023 10:28:40,3,4.818,0.208,1.001
13/10/2023 10:28:49,2,9.386,0.426,4.0
13/10/2023 10:28:49,3,4.815,0.207,0.996
13/10/2023 10:28:58,2,9.386,0.426,4.0
13/10/2023 10:28:59,3,4.825,0.208,1.002
13/10/2023 10:29:08,2,9.386,0.426,4.0
13/10/2023 10:29:08,3,4.821,0.208,1.001
13/10/2023 10:29:17,2,9.387,0.426,4.001
13/10/2023 10:29:17,3,4.818,0.207,0.999
13/10/2023 10:29:27,2,9.386,0.426,4.0
13/10/2023 10:29:27,3,4.82,0.207,1.001
13/10/2023 10:29:36,2,9.386,0.426,4.0
13/10/2023 10:29:36,3,4.818,0.206,0.994
13/10/2023 10:29:45,2,9.386,0.426,4.0
13/10/2023 10:29:46,3,4.831,0.206,0.995
13/10/2023 10:29:55,2,9.387,0.426,4.001
13/10/2023 10:29:55,3,4.843,0.207,1.002
13/10/2023 10:30:04,2,9.386,0.426,3.999
13/10/2023 10:30:04,3,4.837,0.207,1.002
13/10/2023 10:30:14,2,9.387,0.426,4.001
13/10/2023 10:30:14,3,4.835,0.207,1.002
13/10/2023 10:30:23,2,9.386,0.426,3.999
13/10/2023 10:30:23,3,4.831,0.206,0.997
13/10/2023 10:30:32,2,9.387,0.426,4.0
13/10/2023 10:30:33,3,4.838,0.207,1.002
13/10/2023 10:30:42,2,9.386,0.426,3.999
13/10/2023 10:30:42,3,4.833,0.207,1.001
13/10/2023 10:30:51,2,9.387,0.426,4.0
13/10/2023 10:30:51,3,4.831,0.207,1.001
13/10/2023 10:31:01,2,9.387,0.426,4.0
13/10/2023 10:31:01,3,4.829,0.208,1.005
13/10/2023 10:31:10,2,9.387,0.426,4.001
13/10/2023 10:31:10,3,4.819,0.206,0.993
13/10/2023 10:31:19,2,9.386,0.426,3.999
13/10/2023 10:31:20,3,4.837,0.208,1.006
13/10/2023 10:31:29,2,9.387,0.426,4.001
13/10/2023 10:31:29,3,4.823,0.207,0.999
13/10/2023 10:31:38,2,9.386,0.426,3.999
13/10/2023 10:31:38,3,4.826,0.207,1.0
13/10/2023 10:32:51,2,9.387,0.426,4.002
13/10/2023 10:32:51,3,4.826,0.208,1.003
13/10/2023 10:33:00,2,9.385,0.426,4.0
13/10/2023 10:33:00,3,4.819,0.208,1.002
13/10/2023 10:33:09,2,9.385,0.426,4.0
13/10/2023 10:33:10,3,4.815,0.208,1.002
13/10/2023 10:33:19,2,9.385,0.426,4.0
13/10/2023 10:33:19,3,4.808,0.207,0.995
13/10/2023 10:33:28,2,9.385,0.426,4.0
13/10/2023 10:33:28,3,4.821,0.207,1.0
13/10/2023 10:33:38,2,9.385,0.426,4.0
13/10/2023 10:33:38,3,4.82,0.207,1.0
13/10/2023 10:33:47,2,9.385,0.426,4.0
13/10/2023 10:33:47,3,4.818,0.207,0.999
13/10/2023 10:33:56,2,9.385,0.426,4.0
13/10/2023 10:33:57,3,4.82,0.207,1.0
13/10/2023 10:34:06,2,9.385,0.426,4.0
13/10/2023 10:34:06,3,4.82,0.207,1.0
13/10/2023 10:34:15,2,9.385,0.426,4.0
13/10/2023 10:34:15,3,4.82,0.207,0.997
13/10/2023 10:34:25,2,9.385,0.426,4.001
13/10/2023 10:34:25,3,4.828,0.207,0.998
13/10/2023 10:34:34,2,9.385,0.426,4.0
13/10/2023 10:34:34,3,4.832,0.207,1.0
13/10/2023 10:34:43,2,9.385,0.426,4.0
13/10/2023 10:34:43,3,4.834,0.206,0.998
13/10/2023 10:35:44,2,9.385,0.426,4.001
13/10/2023 10:35:44,3,4.839,0.206,0.999
13/10/2023 10:35:45,2,9.384,0.426,3.999
13/10/2023 10:35:45,3,4.842,0.206,0.999
13/10/2023 10:35:45,2,9.384,0.426,4.0
13/10/2023 10:35:46,3,4.843,0.206,0.999
13/10/2023 10:35:46,2,9.384,0.426,3.999
13/10/2023 10:35:46,3,4.847,0.206,1.0
13/10/2023 10:35:47,2,9.384,0.426,3.999
13/10/2023 10:35:47,3,4.846,0.206,1.0
13/10/2023 10:35:48,2,9.385,0.426,4.001
13/10/2023 10:35:48,3,4.845,0.207,1.001
13/10/2023 10:35:49,2,9.384,0.426,3.999
13/10/2023 10:35:49,3,4.841,0.206,0.999
13/10/2023 10:35:50,2,9.384,0.426,3.999
13/10/2023 10:35:50,3,4.843,0.206,1.0
13/10/2023 10:35:51,2,9.385,0.426,4.0
13/10/2023 10:35:51,3,4.844,0.206,1.0
13/10/2023 10:35:51,2,9.385,0.426,4.001
13/10/2023 10:35:52,3,4.844,0.206,0.999
13/10/2023 10:35:52,2,9.385,0.426,4.0
13/10/2023 10:35:53,3,4.844,0.206,1.0
13/10/2023 10:35:53,2,9.385,0.426,4.0
13/10/2023 10:35:53,3,4.844,0.206,1.0
13/10/2023 10:35:54,2,9.385,0.426,4.001
13/10/2023 10:35:54,3,4.847,0.206,0.999
13/10/2023 10:35:55,2,9.384,0.426,3.999
13/10/2023 10:35:55,3,4.849,0.206,0.999
13/10/2023 10:35:56,2,9.383,0.426,3.999
13/10/2023 10:35:56,3,4.851,0.207,1.002
13/10/2023 10:35:57,2,9.384,0.426,4.0
13/10/2023 10:35:57,3,4.846,0.206,1.0
13/10/2023 10:35:58,2,9.385,0.426,4.001
13/10/2023 10:35:58,3,4.846,0.207,1.002
13/10/2023 10:35:59,2,9.384,0.426,3.999
13/10/2023 10:35:59,3,4.843,0.206,1.0
13/10/2023 10:36:00,2,9.384,0.426,3.999
13/10/2023 10:36:00,3,4.843,0.207,1.001
13/10/2023 10:36:00,2,9.384,0.426,3.999
13/10/2023 10:36:01,3,4.842,0.206,0.999
13/10/2023 10:36:01,2,9.384,0.426,4.0
13/10/2023 10:36:01,3,4.844,0.206,0.999
13/10/2023 10:36:02,2,9.385,0.426,4.0
13/10/2023 10:36:02,3,4.846,0.206,0.999
13/10/2023 10:36:03,2,9.385,0.426,4.0
13/10/2023 10:36:03,3,4.85,0.206,1.001
13/10/2023 10:36:04,2,9.385,0.426,4.0
13/10/2023 10:36:04,3,4.847,0.206,0.999
13/10/2023 10:36:05,2,9.385,0.426,4.0
13/10/2023 10:36:05,3,4.847,0.206,0.999
13/10/2023 10:36:06,2,9.385,0.426,4.0
13/10/2023 10:36:06,3,4.851,0.206,1.0
13/10/2023 10:36:07,2,9.385,0.426,4.001
13/10/2023 10:36:07,3,4.85,0.206,1.0
13/10/2023 10:36:08,2,9.385,0.426,4.0
13/10/2023 10:36:08,3,4.851,0.206,1.0
13/10/2023 10:36:08,2,9.385,0.426,3.999
13/10/2023 10:36:09,3,4.852,0.206,1.0
13/10/2023 10:36:09,2,9.384,0.426,4.0
13/10/2023 10:36:10,3,4.852,0.206,0.999
13/10/2023 10:36:10,2,9.385,0.426,4.0
13/10/2023 10:36:10,3,4.854,0.206,1.0
13/10/2023 10:36:11,2,9.384,0.426,3.999
13/10/2023 10:36:11,3,4.855,0.206,0.999
13/10/2023 10:36:12,2,9.385,0.426,4.0
13/10/2023 10:36:12,3,4.857,0.206,1.0
13/10/2023 10:36:13,2,9.383,0.426,3.999
13/10/2023 10:36:13,3,4.859,0.206,1.0
13/10/2023 10:36:14,2,9.384,0.426,4.001
13/10/2023 10:36:14,3,4.857,0.206,1.0
