Zeit,Kanal,Spannung,Strom,Leistung
12/10/2023 13:33:17,2,4.693,0.213,1.0
12/10/2023 13:33:17,3,10.707,0.477,5.106
12/10/2023 13:33:17,4,10.651,0.469,4.996
12/10/2023 13:33:28,2,4.693,0.213,1.0
12/10/2023 13:33:28,3,10.707,0.477,5.107
12/10/2023 13:33:28,4,10.651,0.469,4.996
12/10/2023 13:33:39,2,4.693,0.213,1.0
12/10/2023 13:33:39,3,10.707,0.477,5.107
12/10/2023 13:33:39,4,10.651,0.469,4.991
12/10/2023 13:33:49,2,4.693,0.213,1.0
12/10/2023 13:33:49,3,10.707,0.477,5.107
12/10/2023 13:33:50,4,10.651,0.469,4.992
12/10/2023 13:34:00,2,4.693,0.213,1.0
12/10/2023 13:34:00,3,10.707,0.477,5.103
12/10/2023 13:34:00,4,10.651,0.469,4.992
12/10/2023 13:34:11,2,4.693,0.213,1.0
12/10/2023 13:34:11,3,10.707,0.477,5.104
12/10/2023 13:34:11,4,10.651,0.469,4.992
12/10/2023 13:34:22,2,4.693,0.213,1.0
12/10/2023 13:34:22,3,10.707,0.477,5.104
12/10/2023 13:34:22,4,10.651,0.469,4.993
12/10/2023 13:34:32,2,4.693,0.213,1.0
12/10/2023 13:34:33,3,10.707,0.477,5.104
12/10/2023 13:34:33,4,10.651,0.469,4.993
12/10/2023 13:34:43,2,4.693,0.213,1.0
12/10/2023 13:34:44,3,10.707,0.477,5.103
12/10/2023 13:34:44,4,10.651,0.469,4.993
12/10/2023 13:34:54,2,4.693,0.213,1.0
12/10/2023 13:34:55,3,10.707,0.477,5.104
12/10/2023 13:34:55,4,10.651,0.469,4.994
12/10/2023 13:35:05,2,4.693,0.213,1.0
12/10/2023 13:35:05,3,10.707,0.477,5.103
12/10/2023 13:35:06,4,10.651,0.469,4.993
12/10/2023 13:35:16,2,4.693,0.213,1.0
12/10/2023 13:35:16,3,10.707,0.476,5.102
12/10/2023 13:35:16,4,10.651,0.469,4.993
12/10/2023 13:35:27,2,4.693,0.213,1.0
12/10/2023 13:35:27,3,10.707,0.477,5.103
12/10/2023 13:35:27,4,10.651,0.469,4.995
12/10/2023 13:35:38,2,4.693,0.213,1.0
12/10/2023 13:35:38,3,10.707,0.477,5.103
12/10/2023 13:35:38,4,10.651,0.469,4.996
12/10/2023 13:35:49,2,4.693,0.213,1.0
12/10/2023 13:35:49,3,10.707,0.477,5.103
12/10/2023 13:35:49,4,10.651,0.469,4.993
12/10/2023 13:35:59,2,4.693,0.213,1.0
12/10/2023 13:36:00,3,10.707,0.477,5.103
12/10/2023 13:36:00,4,10.651,0.469,4.99
12/10/2023 13:36:11,2,4.693,0.213,1.0
12/10/2023 13:36:11,3,10.707,0.477,5.107
12/10/2023 13:36:11,4,10.651,0.469,4.992
12/10/2023 13:36:21,2,4.693,0.213,1.0
12/10/2023 13:36:21,3,10.707,0.477,5.107
12/10/2023 13:36:22,4,10.651,0.469,4.993
12/10/2023 13:36:33,2,4.693,0.213,1.0
12/10/2023 13:36:33,3,10.707,0.477,5.105
12/10/2023 13:36:33,4,10.651,0.469,4.994
12/10/2023 13:36:43,2,4.693,0.213,1.0
12/10/2023 13:36:43,3,10.707,0.477,5.105
12/10/2023 13:36:43,4,10.651,0.469,4.993
12/10/2023 13:36:54,2,4.693,0.213,1.0
12/10/2023 13:36:54,3,10.707,0.477,5.106
12/10/2023 13:36:54,4,10.651,0.469,4.994
12/10/2023 13:37:04,2,4.693,0.213,1.0
12/10/2023 13:37:04,3,10.707,0.477,5.106
12/10/2023 13:37:05,4,10.651,0.469,4.994
12/10/2023 13:37:15,2,4.693,0.213,1.0
12/10/2023 13:37:15,3,10.707,0.477,5.106
12/10/2023 13:37:15,4,10.651,0.469,4.994
12/10/2023 13:37:25,2,4.693,0.213,1.0
12/10/2023 13:37:26,3,10.707,0.477,5.106
12/10/2023 13:37:26,4,10.651,0.469,4.995
12/10/2023 13:37:36,2,4.693,0.213,1.0
12/10/2023 13:37:36,3,10.707,0.477,5.106
12/10/2023 13:37:37,4,10.651,0.469,4.995
12/10/2023 13:37:47,2,4.693,0.213,1.0
12/10/2023 13:37:47,3,10.707,0.477,5.106
12/10/2023 13:37:47,4,10.651,0.469,4.995
12/10/2023 13:37:58,2,4.693,0.213,1.0
12/10/2023 13:37:58,3,10.707,0.476,5.101
12/10/2023 13:37:58,4,10.651,0.469,4.995
12/10/2023 13:38:09,2,4.693,0.213,1.0
12/10/2023 13:38:09,3,10.707,0.476,5.101
12/10/2023 13:38:09,4,10.651,0.469,4.996
