Zeit,Kanal,Spannung,Strom,Leistung
13/10/2023 11:30:30,2,4.692,0.213,1.0
13/10/2023 11:30:30,3,8.221,0.363,2.983
13/10/2023 11:30:33,2,4.692,0.213,1.0
13/10/2023 11:30:33,3,8.247,0.363,2.991
13/10/2023 11:30:37,2,4.692,0.213,0.999
13/10/2023 11:30:37,3,8.261,0.362,2.993
13/10/2023 11:30:41,2,4.692,0.213,1.0
13/10/2023 11:30:41,3,8.266,0.364,3.01
13/10/2023 11:30:44,2,4.692,0.213,1.0
13/10/2023 11:30:45,3,8.252,0.363,3.0
13/10/2023 11:30:48,2,4.692,0.213,1.0
13/10/2023 11:30:48,3,8.253,0.363,3.0
13/10/2023 11:30:52,2,4.693,0.213,1.0
13/10/2023 11:30:52,3,8.253,0.363,3.0
13/10/2023 11:30:56,2,4.693,0.213,1.0
13/10/2023 11:30:56,3,8.253,0.363,2.998
13/10/2023 11:30:59,2,4.693,0.213,1.0
13/10/2023 11:30:59,3,8.256,0.363,3.001
13/10/2023 11:31:02,2,4.693,0.213,1.0
13/10/2023 11:31:02,3,8.255,0.363,3.0
13/10/2023 11:31:06,2,4.693,0.213,1.0
13/10/2023 11:31:06,3,8.255,0.362,2.989
13/10/2023 11:31:09,2,4.693,0.213,1.0
13/10/2023 11:31:09,3,8.268,0.363,3.003
13/10/2023 11:31:13,2,4.693,0.213,1.0
13/10/2023 11:31:13,3,8.264,0.363,3.004
13/10/2023 11:31:49,2,4.693,0.213,1.0
13/10/2023 11:31:49,3,8.259,0.363,2.996
13/10/2023 11:31:53,2,4.695,0.213,1.001
13/10/2023 11:31:53,3,8.259,0.363,3.0
13/10/2023 11:31:56,2,4.693,0.213,1.0
13/10/2023 11:31:56,3,8.257,0.364,3.002
13/10/2023 11:32:00,2,4.695,0.213,1.001
13/10/2023 11:32:00,3,8.254,0.363,3.0
13/10/2023 11:32:04,2,4.694,0.213,1.0
13/10/2023 11:32:04,3,8.254,0.363,3.0
13/10/2023 11:32:07,2,4.694,0.213,1.0
13/10/2023 11:32:07,3,8.254,0.363,3.0
13/10/2023 11:32:11,2,4.693,0.213,1.0
13/10/2023 11:32:11,3,8.254,0.363,2.998
13/10/2023 11:32:14,2,4.694,0.213,1.0
13/10/2023 11:32:15,3,8.25,0.364,3.002
13/10/2023 11:32:50,2,4.694,0.213,1.0
13/10/2023 11:32:50,3,8.249,0.366,3.019
13/10/2023 11:32:53,2,4.693,0.213,1.0
13/10/2023 11:32:53,3,8.223,0.365,3.001
13/10/2023 11:32:57,2,4.694,0.213,1.0
13/10/2023 11:32:57,3,8.221,0.365,3.001
13/10/2023 11:33:00,2,4.694,0.213,1.0
13/10/2023 11:33:00,3,8.22,0.365,3.0
13/10/2023 11:33:04,2,4.693,0.213,1.0
13/10/2023 11:33:04,3,8.22,0.365,3.0
13/10/2023 11:33:07,2,4.694,0.213,1.0
13/10/2023 11:33:07,3,8.222,0.365,2.999
13/10/2023 11:33:11,2,4.693,0.213,1.0
13/10/2023 11:33:11,3,8.226,0.365,2.999
13/10/2023 11:33:14,2,4.694,0.213,1.0
13/10/2023 11:33:14,3,8.228,0.365,3.001
13/10/2023 11:33:28,2,4.693,0.213,1.0
13/10/2023 11:33:29,3,8.228,0.365,3.004
13/10/2023 11:33:32,2,4.694,0.213,1.0
13/10/2023 11:33:32,3,8.222,0.365,3.0
13/10/2023 11:33:35,2,4.694,0.213,1.0
13/10/2023 11:33:36,3,8.222,0.365,3.0
13/10/2023 11:33:39,2,4.694,0.213,1.0
13/10/2023 11:33:39,3,8.222,0.365,3.0
13/10/2023 11:33:42,2,4.694,0.213,1.0
13/10/2023 11:33:42,3,8.221,0.365,3.001
13/10/2023 11:33:46,2,4.694,0.213,1.0
13/10/2023 11:33:46,3,8.22,0.365,3.0
13/10/2023 11:33:49,2,4.694,0.213,1.0
13/10/2023 11:33:50,3,8.22,0.365,3.002
13/10/2023 11:33:53,2,4.694,0.213,1.0
13/10/2023 11:33:53,3,8.217,0.365,2.999
13/10/2023 11:33:57,2,4.694,0.213,1.0
13/10/2023 11:33:57,3,8.218,0.365,3.002
13/10/2023 11:34:00,2,4.694,0.213,1.0
13/10/2023 11:34:00,3,8.216,0.365,3.0
13/10/2023 11:34:03,2,4.694,0.213,1.0
13/10/2023 11:34:04,3,8.216,0.365,3.001
13/10/2023 11:34:07,2,4.694,0.213,1.0
13/10/2023 11:34:07,3,8.214,0.365,3.0
13/10/2023 11:34:11,2,4.694,0.213,1.0
13/10/2023 11:34:11,3,8.214,0.365,3.001
13/10/2023 11:34:14,2,4.694,0.213,1.0
13/10/2023 11:34:14,3,8.214,0.365,3.0
13/10/2023 11:34:17,2,4.694,0.213,1.0
13/10/2023 11:34:18,3,8.213,0.365,2.998
13/10/2023 11:34:21,2,4.694,0.213,1.0
13/10/2023 11:34:22,3,8.218,0.365,3.001
13/10/2023 11:34:25,2,4.694,0.213,1.0
13/10/2023 11:34:25,3,8.217,0.365,3.0
13/10/2023 11:34:28,2,4.694,0.213,1.0
13/10/2023 11:34:28,3,8.217,0.365,3.0
13/10/2023 11:34:32,2,4.694,0.213,1.0
13/10/2023 11:34:32,3,8.216,0.365,2.996
13/10/2023 11:34:35,2,4.694,0.213,1.0
13/10/2023 11:34:35,3,8.222,0.365,3.001
13/10/2023 11:34:38,2,4.694,0.213,1.0
13/10/2023 11:34:38,3,8.221,0.365,3.0
13/10/2023 11:34:42,2,4.694,0.213,1.0
13/10/2023 11:34:42,3,8.221,0.365,3.0
13/10/2023 11:34:45,2,4.694,0.213,1.0
13/10/2023 11:34:45,3,8.221,0.365,2.999
13/10/2023 11:34:49,2,4.694,0.213,1.0
13/10/2023 11:34:49,3,8.222,0.364,2.992
13/10/2023 11:34:52,2,4.694,0.213,1.0
13/10/2023 11:34:52,3,8.236,0.364,2.998
13/10/2023 11:34:56,2,4.694,0.213,1.0
13/10/2023 11:34:56,3,8.238,0.365,3.004
13/10/2023 11:35:00,2,4.694,0.213,1.0
13/10/2023 11:35:00,3,8.233,0.364,3.001
13/10/2023 11:35:04,2,4.694,0.213,1.0
13/10/2023 11:35:04,3,8.233,0.364,2.998
13/10/2023 11:35:08,2,4.694,0.213,1.0
13/10/2023 11:35:08,3,8.235,0.364,3.0
13/10/2023 11:35:12,2,4.694,0.213,1.0
13/10/2023 11:35:12,3,8.236,0.364,3.002
13/10/2023 11:35:15,2,4.694,0.213,1.0
13/10/2023 11:35:15,3,8.232,0.364,3.001
13/10/2023 11:35:49,3,8.232,0.365,3.002
13/10/2023 11:35:52,2,4.694,0.213,1.0
13/10/2023 11:35:53,3,8.229,0.365,3.0
13/10/2023 11:35:56,2,4.694,0.213,1.0
13/10/2023 11:35:56,3,8.229,0.365,3.0
13/10/2023 11:36:00,2,4.694,0.213,1.0
13/10/2023 11:36:00,3,8.229,0.365,3.002
13/10/2023 11:36:04,2,4.694,0.213,1.0
13/10/2023 11:36:04,3,8.226,0.365,3.0
13/10/2023 11:36:07,2,4.694,0.213,1.0
13/10/2023 11:36:07,3,8.226,0.365,3.001
13/10/2023 11:36:11,2,4.694,0.213,1.0
13/10/2023 11:36:11,3,8.224,0.365,3.0
13/10/2023 11:36:14,2,4.695,0.213,1.001
13/10/2023 11:36:14,3,8.224,0.365,3.002
13/10/2023 11:36:18,2,4.694,0.213,1.0
13/10/2023 11:36:18,3,8.222,0.365,3.001
13/10/2023 11:36:21,2,4.694,0.213,1.0
13/10/2023 11:36:21,3,8.222,0.365,3.001
13/10/2023 11:36:25,2,4.694,0.213,1.0
13/10/2023 11:36:25,3,8.22,0.365,3.0
13/10/2023 11:36:28,2,4.694,0.213,1.0
13/10/2023 11:36:29,3,8.221,0.365,3.001
13/10/2023 11:36:32,2,4.694,0.213,1.0
13/10/2023 11:36:32,3,8.22,0.365,2.999
13/10/2023 11:36:36,2,4.694,0.213,1.0
13/10/2023 11:36:36,3,8.221,0.365,3.001
13/10/2023 11:36:39,2,4.694,0.213,1.0
13/10/2023 11:36:39,3,8.22,0.365,2.999
13/10/2023 11:36:43,2,4.694,0.213,1.0
13/10/2023 11:36:43,3,8.222,0.365,3.001
13/10/2023 11:36:46,2,4.696,0.213,1.001
13/10/2023 11:36:46,3,8.22,0.365,2.999
13/10/2023 11:36:50,2,4.694,0.213,1.0
13/10/2023 11:36:50,3,8.222,0.365,3.001
13/10/2023 11:36:53,2,4.696,0.213,1.001
13/10/2023 11:36:53,3,8.22,0.365,2.999
13/10/2023 11:36:56,2,4.694,0.213,1.0
13/10/2023 11:36:57,3,8.222,0.365,3.001
