Zeit,Kanal,Spannung,Strom,Leistung
12/10/2023 13:21:22,2,4.693,0.213,1.0
12/10/2023 13:21:22,3,9.597,0.407,3.908
12/10/2023 13:21:23,4,10.683,0.469,5.007
12/10/2023 13:21:33,2,4.693,0.213,1.0
12/10/2023 13:21:33,3,9.597,0.407,3.908
12/10/2023 13:21:34,4,10.675,0.469,5.011
12/10/2023 13:21:44,2,4.693,0.213,1.0
12/10/2023 13:21:44,3,9.597,0.409,3.928
12/10/2023 13:21:44,4,10.663,0.47,5.008
12/10/2023 13:21:55,2,4.693,0.213,1.0
12/10/2023 13:21:55,3,9.597,0.409,3.928
12/10/2023 13:21:55,4,10.654,0.47,5.005
12/10/2023 13:22:06,2,4.693,0.213,1.0
12/10/2023 13:22:06,3,9.597,0.409,3.929
12/10/2023 13:22:06,4,10.648,0.469,4.995
12/10/2023 13:22:17,2,4.694,0.213,1.0
12/10/2023 13:22:17,3,9.597,0.409,3.93
12/10/2023 13:22:17,4,10.654,0.47,5.004
12/10/2023 13:22:27,2,4.693,0.213,1.0
12/10/2023 13:22:27,3,9.597,0.411,3.948
12/10/2023 13:22:27,4,10.65,0.469,5.0
