Zeit,Kanal,Spannung,Strom,Leistung
12/10/2023 13:59:34,2,4.693,0.213,1.0
12/10/2023 13:59:34,3,10.707,0.472,5.057
12/10/2023 13:59:34,4,10.651,0.474,5.045
12/10/2023 13:59:45,2,4.693,0.213,1.0
12/10/2023 13:59:45,4,10.651,0.474,5.046
12/10/2023 13:59:55,1,6.637,0.0,0.002
12/10/2023 13:59:56,2,4.693,0.213,1.0
12/10/2023 13:59:56,3,10.707,0.473,5.062
12/10/2023 13:59:56,4,10.651,0.474,5.045
12/10/2023 14:00:07,1,6.637,0.0,0.002
12/10/2023 14:00:07,2,4.693,0.213,1.0
12/10/2023 14:00:07,3,10.707,0.473,5.067
12/10/2023 14:00:08,4,10.651,0.473,5.038
12/10/2023 14:00:18,1,6.637,0.0,0.002
12/10/2023 14:00:18,2,4.693,0.213,1.0
12/10/2023 14:00:18,3,10.707,0.474,5.077
12/10/2023 14:00:19,4,10.651,0.47,5.01
12/10/2023 14:00:29,1,6.637,0.0,0.002
12/10/2023 14:00:29,2,4.693,0.213,1.0
12/10/2023 14:00:29,3,10.707,0.473,5.062
12/10/2023 14:00:29,4,10.651,0.47,5.01
12/10/2023 14:00:40,1,6.637,0.0,0.002
12/10/2023 14:00:40,2,4.693,0.213,1.0
12/10/2023 14:00:40,3,10.707,0.472,5.05
12/10/2023 14:00:40,4,10.651,0.47,5.009
12/10/2023 14:00:51,1,6.637,0.0,0.002
12/10/2023 14:00:51,2,4.693,0.213,1.0
12/10/2023 14:00:51,3,10.707,0.472,5.05
12/10/2023 14:00:51,4,10.651,0.47,5.009
12/10/2023 14:01:02,1,6.637,0.0,0.002
12/10/2023 14:01:02,2,4.693,0.213,1.0
12/10/2023 14:01:02,3,10.707,0.471,5.043
12/10/2023 14:01:02,4,10.651,0.47,5.009
12/10/2023 14:01:13,1,6.637,0.0,0.002
12/10/2023 14:01:13,2,4.693,0.213,1.0
12/10/2023 14:01:13,3,10.707,0.471,5.044
12/10/2023 14:01:13,4,10.651,0.47,5.01
12/10/2023 14:01:24,1,6.637,0.0,0.002
12/10/2023 14:01:24,2,4.693,0.213,1.0
12/10/2023 14:01:24,3,10.707,0.471,5.048
12/10/2023 14:01:25,4,10.651,0.471,5.02
