Zeit,Kanal,Spannung,Strom,Leistung
27-09-2023 11:15:27,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:15:27,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:15:37,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:15:37,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:15:37,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:15:37,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:15:47,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:15:47,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:15:47,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:15:47,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:15:58,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:15:58,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:15:58,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:15:58,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:16:08,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:16:08,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:16:08,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:16:08,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:16:18,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:16:18,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:16:18,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:16:18,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:16:28,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:16:28,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:16:28,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:16:28,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:16:38,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:16:38,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:16:38,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:16:38,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:16:48,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:16:48,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:16:48,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:16:48,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:16:58,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:16:58,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:16:58,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:16:58,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:17:08,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:17:08,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:17:08,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:17:08,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:17:18,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:17:18,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:17:18,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:17:18,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:17:28,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:17:28,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:17:28,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:17:28,4,1.000  V,0.000  A,0.000  W
27-09-2023 11:17:38,1,0.100  V,0.000  A,0.000  W
27-09-2023 11:17:38,2,8.111  V,0.369  A,2.995  W
27-09-2023 11:17:38,3,8.124  V,0.000  A,0.001  W
27-09-2023 11:17:38,4,1.000  V,0.000  A,0.000  W
